url,role,origine,bundle,shaders,besoin_fix,rebuild_dispo,note
http://cloud-3.steamusercontent.com/ugc/1856061112420143285/F206D67AFF9379B68AD0795767DA378CE80D44AE/,principal,telecharge,mauldelorian_trooper_2_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143328/3D6F3C2E8DFB78B9B748FFC8F339B9C568D7408E/,secondaire,telecharge,black_sun_enforcers_mat,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143366/41AB7DFFD2FCF20E2BCC3F899F728863C30F6343/,principal,telecharge,mauldelorian_gunsligner_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143408/F4A88228E11334545EACA86B36E6B2008E76B0D3/,principal,telecharge,mauldelorian_leader_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143451/3DFD9C8BD5D504D3A2F7934678D1A0A7C2285863/,principal,telecharge,mauldelorian_marksman_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143500/4BDEA7F5B523FC06641B3D71D1E112DC14BD7F81/,principal,telecharge,mauldelorian_trooper_1_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143543/CBAC94E0D1731CB8D1034D24F58987E854A8596A/,secondaire,telecharge,pyke_syndicate_mat,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143649/BBBA0D26FB46EAD96421C4B77FE779B5F0F848AA/,principal,telecharge,black_sun_enforcers_mag_det_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143685/C75388115AFCF42ACC79E2C16FEF36755C975AA0/,principal,telecharge,black_sun_enforcers_scattergun_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143724/48B5A35E10B4977E255D889A8FCAEA8C980A11A9/,principal,telecharge,black_sun_enforcers_trooper_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143763/E93BA6716A05CA95AE2EA3B7C0DFD8AF145D5C22/,principal,telecharge,black_sun_vigo_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420143862/CF491C11176E40BD786A89E1D0C20D3316448188/,principal,telecharge,gar_saxon_model,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1856061112420351237/706DEA645FEE2EC9787F05F4FF2926632E2C4894/,principal,telecharge,pyke_capo_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1924743543116067434/0A068914BDD35AE6F63D7E29EBC7E0B5F712DA1F/,principal,telecharge,swoop _bikes_leader_model,BucketheadBits/Units/Color Replacer,oui,oui,
